epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3420.13,1.17782,0.90064,1.2322,0.62669,0.96561,0.65927,0.40387,1.2334,13.0883,1.28871,0.007921,0.007921,0.007921
44,3507.82,1.17222,0.90684,1.23227,0.61875,0.95674,0.65716,0.40249,1.22442,12.8063,1.28467,0.0078715,0.0078715,0.0078715
45,3593.7,1.16732,0.89213,1.21617,0.62673,0.95109,0.65464,0.40586,1.24601,13.2207,1.28981,0.007822,0.007822,0.007822
46,3680.72,1.1596,0.89491,1.21592,0.62755,0.96146,0.64914,0.39635,1.25688,13.0295,1.30819,0.0077725,0.0077725,0.0077725
47,3759.95,1.1512,0.88407,1.21298,0.62797,0.96132,0.65645,0.40241,1.22332,13.124,1.28032,0.007723,0.007723,0.007723
48,3836.55,1.15368,0.8898,1.21346,0.61908,0.96015,0.66038,0.40321,1.22369,13.7366,1.29646,0.0076735,0.0076735,0.0076735
49,3913.37,1.13896,0.87902,1.19996,0.62067,0.95675,0.65431,0.40205,1.24867,13.1865,1.30914,0.007624,0.007624,0.007624
50,3989.97,1.14577,0.88065,1.20354,0.62578,0.95767,0.65936,0.39823,1.23234,12.8499,1.28249,0.0075745,0.0075745,0.0075745
51,4072.52,1.12583,0.86494,1.1984,0.62449,0.94483,0.66159,0.40175,1.25019,13.5829,1.30852,0.007525,0.007525,0.007525
52,4149.36,1.12984,0.86554,1.19794,0.6249,0.96656,0.66023,0.39893,1.24892,13.0308,1.31992,0.0074755,0.0074755,0.0074755
53,4231.47,1.1176,0.85609,1.19889,0.6293,0.94887,0.65996,0.40113,1.25137,13.5718,1.31618,0.007426,0.007426,0.007426
54,4311.66,1.11521,0.8468,1.19386,0.62027,0.9543,0.65433,0.39586,1.2718,13.8508,1.34413,0.0073765,0.0073765,0.0073765
55,4389.6,1.10985,0.84381,1.18329,0.61627,0.95325,0.656,0.39896,1.2702,13.8298,1.3291,0.007327,0.007327,0.007327
56,4472.26,1.10847,0.84689,1.18315,0.62033,0.94116,0.64809,0.39198,1.27006,13.5025,1.32378,0.0072775,0.0072775,0.0072775
57,4553.41,1.09905,0.83609,1.18052,0.62536,0.94028,0.65304,0.39252,1.26592,13.6555,1.32956,0.007228,0.007228,0.007228
58,4637.43,1.09606,0.83228,1.17618,0.62451,0.95422,0.65697,0.39538,1.2764,13.7969,1.33047,0.0071785,0.0071785,0.0071785
59,4728.36,1.0885,0.83789,1.17228,0.62335,0.94672,0.66074,0.39468,1.28573,13.6439,1.33842,0.007129,0.007129,0.007129
60,4813.26,1.08599,0.83092,1.16902,0.6206,0.94488,0.65495,0.39186,1.28743,13.8581,1.35738,0.0070795,0.0070795,0.0070795
61,4898.52,1.07261,0.8163,1.16707,0.61826,0.94853,0.65238,0.38883,1.28281,14.0416,1.34883,0.00703,0.00703,0.00703
62,4981.49,1.07493,0.82418,1.16254,0.62177,0.94397,0.6501,0.38966,1.28647,14.1046,1.34913,0.0069805,0.0069805,0.0069805
63,5063.71,1.0671,0.81788,1.15478,0.61875,0.95037,0.64789,0.39128,1.28291,13.9391,1.34926,0.006931,0.006931,0.006931
64,5146.6,1.07147,0.81529,1.15894,0.61704,0.94945,0.64988,0.39503,1.2825,13.9365,1.33739,0.0068815,0.0068815,0.0068815
65,5228.97,1.06139,0.81515,1.14626,0.61615,0.94364,0.65134,0.38976,1.28989,13.7993,1.33742,0.006832,0.006832,0.006832
66,5311.07,1.05622,0.80131,1.14302,0.61197,0.94956,0.64796,0.38884,1.29207,14.1888,1.34729,0.0067825,0.0067825,0.0067825
67,5393.01,1.05114,0.81419,1.14854,0.6173,0.95227,0.64948,0.38613,1.28952,13.9739,1.34957,0.006733,0.006733,0.006733
68,5474.85,1.04676,0.81224,1.14315,0.61765,0.94887,0.64555,0.38483,1.28103,13.6772,1.34804,0.0066835,0.0066835,0.0066835
69,5555.5,1.03588,0.79666,1.13454,0.62195,0.9457,0.64662,0.38786,1.28976,13.6354,1.34824,0.006634,0.006634,0.006634
70,5639.22,1.03081,0.79472,1.13588,0.62388,0.9453,0.64824,0.38874,1.2967,13.7003,1.35477,0.0065845,0.0065845,0.0065845
71,5719.18,1.03484,0.79407,1.13883,0.62486,0.9485,0.65165,0.38901,1.30684,13.8074,1.3584,0.006535,0.006535,0.006535
72,5799.34,1.0265,0.79463,1.12353,0.62628,0.95164,0.65202,0.38861,1.30549,13.708,1.35659,0.0064855,0.0064855,0.0064855
73,5880.91,1.01348,0.78821,1.11696,0.62493,0.95008,0.64705,0.38541,1.30145,13.8819,1.35352,0.006436,0.006436,0.006436
74,5959.65,1.01366,0.78356,1.12306,0.62386,0.95743,0.65268,0.38762,1.29244,14.0679,1.35215,0.0063865,0.0063865,0.0063865
75,6038.18,1.01817,0.78975,1.12109,0.62478,0.94766,0.65137,0.38724,1.29652,14.0346,1.35418,0.006337,0.006337,0.006337
76,6116.26,1.00311,0.78903,1.11675,0.6227,0.94649,0.64564,0.3841,1.30238,14.0964,1.35962,0.0062875,0.0062875,0.0062875
77,6194.29,0.99688,0.77471,1.11253,0.62384,0.94909,0.64782,0.38656,1.3013,14.0667,1.361,0.006238,0.006238,0.006238
78,6277.33,0.9994,0.77646,1.11641,0.62394,0.94811,0.64525,0.38453,1.30139,14.1282,1.36378,0.0061885,0.0061885,0.0061885
79,6361.19,0.99169,0.78421,1.11071,0.62485,0.94785,0.6494,0.38667,1.30307,14.132,1.36786,0.006139,0.006139,0.006139
80,6444.98,0.97899,0.76654,1.1072,0.62455,0.94751,0.6482,0.38529,1.30173,14.1939,1.37005,0.0060895,0.0060895,0.0060895
81,6531.07,0.98307,0.76792,1.10126,0.62481,0.94753,0.65005,0.3849,1.30564,14.1844,1.37175,0.00604,0.00604,0.00604
82,6619.35,0.97285,0.76481,1.10203,0.62478,0.94116,0.6495,0.38713,1.31101,14.2334,1.37682,0.0059905,0.0059905,0.0059905
83,6708.07,0.96732,0.77362,1.09938,0.62321,0.94558,0.64774,0.38334,1.31424,14.1411,1.37968,0.005941,0.005941,0.005941
84,6796.47,0.96806,0.76555,1.09757,0.62345,0.94358,0.64969,0.3833,1.31271,14.1938,1.37688,0.0058915,0.0058915,0.0058915
85,6885.03,0.95965,0.76021,1.09006,0.62161,0.9465,0.64788,0.38311,1.31562,14.2665,1.38103,0.005842,0.005842,0.005842
86,6979.61,0.95816,0.75691,1.09204,0.62277,0.951,0.64817,0.38444,1.31847,14.2844,1.38548,0.0057925,0.0057925,0.0057925
87,7057.09,0.95218,0.74624,1.08437,0.62418,0.95138,0.64472,0.38038,1.32081,14.3388,1.39047,0.005743,0.005743,0.005743
88,7137.59,0.94668,0.75139,1.08195,0.62138,0.9549,0.64492,0.38218,1.32026,14.3117,1.38883,0.0056935,0.0056935,0.0056935
89,7214.59,0.94213,0.74266,1.08361,0.62092,0.94824,0.64322,0.38203,1.32199,14.3075,1.39233,0.005644,0.005644,0.005644
90,7292.24,0.93843,0.73355,1.07902,0.62073,0.94821,0.64301,0.38222,1.32306,14.294,1.39537,0.0055945,0.0055945,0.0055945
91,7381.7,0.93346,0.73823,1.07324,0.62201,0.94896,0.64247,0.38159,1.32647,14.2953,1.3975,0.005545,0.005545,0.005545
92,7462.16,0.92575,0.73624,1.07332,0.62065,0.94994,0.64449,0.38326,1.32799,14.2678,1.39768,0.0054955,0.0054955,0.0054955
93,7538.84,0.92798,0.74165,1.07344,0.62044,0.94994,0.64559,0.38306,1.32707,14.2578,1.39746,0.005446,0.005446,0.005446
94,7614.73,0.9328,0.73796,1.07057,0.62045,0.94629,0.64549,0.38086,1.32909,14.2766,1.39888,0.0053965,0.0053965,0.0053965
95,7690.69,0.91766,0.73656,1.07132,0.62067,0.94641,0.64451,0.38088,1.33083,14.2815,1.40036,0.005347,0.005347,0.005347
96,7766.52,0.91742,0.73729,1.066,0.62405,0.9436,0.64573,0.38379,1.33337,14.2378,1.40154,0.0052975,0.0052975,0.0052975
97,7842.59,0.91111,0.73652,1.06525,0.62317,0.94261,0.64348,0.38235,1.33387,14.2308,1.40246,0.005248,0.005248,0.005248
98,7918.74,0.90253,0.72224,1.05672,0.6227,0.94188,0.6424,0.38163,1.33414,14.2257,1.40329,0.0051985,0.0051985,0.0051985
99,7994.62,0.90479,0.73337,1.06019,0.62218,0.94101,0.64146,0.38257,1.33517,14.1876,1.40455,0.005149,0.005149,0.005149
100,8070.9,0.89533,0.7094,1.05171,0.62007,0.94479,0.64163,0.3827,1.33672,14.1728,1.40565,0.0050995,0.0050995,0.0050995
101,8147.18,0.8903,0.71601,1.05278,0.61978,0.94325,0.64216,0.38245,1.33933,14.1881,1.4083,0.00505,0.00505,0.00505
102,8223.06,0.88475,0.71189,1.04863,0.6197,0.94295,0.64008,0.38157,1.34112,14.1895,1.40953,0.0050005,0.0050005,0.0050005
