epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,459.072,0.82066,0.90219,1.31891,0.84526,0.86775,0.90513,0.63211,1.05541,0.90515,1.81962,0.000848969,0.000848969,0.000848969
43,469.658,0.80298,0.90644,1.31007,0.83394,0.80864,0.89256,0.62171,1.02841,0.89329,1.76009,0.000834822,0.000834822,0.000834822
44,480.27,0.80025,0.8582,1.30023,0.8709,0.7567,0.81118,0.57501,0.98018,1.05335,1.77145,0.000820675,0.000820675,0.000820675
45,490.854,0.80094,0.87252,1.3037,0.87645,0.82523,0.88721,0.64053,0.96819,0.85164,1.72908,0.000806528,0.000806528,0.000806528
46,501.538,0.79643,0.86817,1.30068,0.84375,0.85294,0.87788,0.62124,0.99528,0.91427,1.79047,0.00079238,0.00079238,0.00079238
47,512.218,0.77946,0.85291,1.28397,0.83444,0.82496,0.8485,0.608,0.98266,0.99874,1.73552,0.000778233,0.000778233,0.000778233
48,522.835,0.78083,0.83145,1.2866,0.8566,0.86703,0.90796,0.66507,0.95194,0.94449,1.75091,0.000764086,0.000764086,0.000764086
49,533.476,0.78354,0.83225,1.29707,0.80255,0.83015,0.88171,0.66329,0.9152,0.91846,1.69152,0.000749939,0.000749939,0.000749939
50,543.996,0.76557,0.81457,1.27069,0.76617,0.83745,0.85231,0.61793,0.97316,1.03248,1.74667,0.000735792,0.000735792,0.000735792
51,554.694,0.76186,0.83556,1.27312,0.79955,0.89816,0.90283,0.633,1.10066,0.93561,1.89732,0.000721645,0.000721645,0.000721645
52,565.368,0.74613,0.80615,1.26042,0.89011,0.81201,0.89521,0.62486,0.99677,0.90585,1.78021,0.000707498,0.000707498,0.000707498
53,576.133,0.75658,0.80188,1.26128,0.81057,0.78154,0.8154,0.59076,0.97346,1.08973,1.73322,0.000693351,0.000693351,0.000693351
54,586.788,0.72855,0.7761,1.25018,0.90405,0.80644,0.88457,0.66035,0.947,0.95058,1.68901,0.000679204,0.000679204,0.000679204
55,597.462,0.73098,0.78163,1.24924,0.81395,0.75339,0.86438,0.65636,0.88558,0.99209,1.61704,0.000665057,0.000665057,0.000665057
56,608.057,0.73549,0.77999,1.24856,0.78393,0.88321,0.90975,0.65518,1.00453,0.83687,1.72209,0.000650909,0.000650909,0.000650909
57,618.771,0.72191,0.75546,1.243,0.8831,0.85057,0.90217,0.64633,0.96866,0.83935,1.72836,0.000636762,0.000636762,0.000636762
58,629.465,0.74056,0.77053,1.25775,0.93125,0.81414,0.93261,0.67568,1.00376,0.80433,1.78438,0.000622615,0.000622615,0.000622615
59,640.195,0.72559,0.77662,1.24633,0.89587,0.79461,0.91573,0.66565,0.97434,0.85186,1.77335,0.000608468,0.000608468,0.000608468
60,650.811,0.71856,0.74416,1.23852,0.95039,0.79327,0.93992,0.69701,0.91705,0.80418,1.68164,0.000594321,0.000594321,0.000594321
61,661.497,0.70665,0.7331,1.22687,0.74619,0.93133,0.91585,0.68656,0.91402,0.83318,1.66852,0.000580174,0.000580174,0.000580174
62,672.194,0.70392,0.72887,1.22681,0.82005,0.85203,0.90802,0.6906,0.89934,0.84645,1.64769,0.000566027,0.000566027,0.000566027
63,682.99,0.70272,0.71033,1.22904,0.80986,0.87021,0.90073,0.67115,0.96733,0.83027,1.74496,0.00055188,0.00055188,0.00055188
64,693.675,0.69679,0.73155,1.22435,0.86075,0.89081,0.93226,0.70861,0.91952,0.75617,1.65367,0.000537733,0.000537733,0.000537733
65,704.241,0.6966,0.72024,1.22416,0.93043,0.83035,0.94189,0.67571,0.9864,0.74621,1.75275,0.000523586,0.000523586,0.000523586
